Mesocosm.No,Treat.Name
1,FA1
2,FA2.1
2,FA2.2
2,FA2
3,FP1.1
3,FP1.2
3,FP1
4,FP2.1
4,FP2.2
4,FP2
5,FA3.1
5,FA3.2
5,FA3
6,FA4.1
6,FA4.2
6,FA4
7,FP3.1
7,FP3.2
7,FP3
8,FP4.1
8,FP4.2
8,FP4
9,FA5.1
9,FA5.2
9,FA5
10,FA6.1
10,FA6.2
10,FA6
11,FP5.1
11,FP5.2
11,FP5
12,FP6.1
12,FP6.2
12,FP6
13,FA7.1
13,FA7.2
13,FA7
14,FA8.1
14,FA8.2
14,FA8
15,FP7.1
15,FP7.2
15,FP7
16,FP8.1
16,FP8.2
16,FP8
17,CA1
18,CA2.1
18,CA2.2
18,CA2
19,CP1.1
19,CP1.2
19,CP1
20,CP2.1
20,CP2.2
20,CP2
21,CA3.1
21,CA3.2
21,CA3
22,CA4.1
22,CA4.2
22,CA4
23,CP3.1
23,CP3.2
23,CP3
24,CP4.1
24,CP4.2
24,CP4
25,CA5.1
25,CA5.2
25,CA5
26,CA6.1
26,CA6.2
26,CA6
27,CP5.1
27,CP5.2
27,CP5
28,CP6.1
28,CP6.2
28,CP6
29,CA7.1
29,CA7.2
29,CA7
30,CA8.1
30,CA8.2
30,CA8
31,CP7.1
31,CP7.2
31,CP7
32,CP8.1
32,CP8.2
32,CP8
33,NA1.1
33,NA1.2
33,NA1
34,NA2.1
34,NA2.2
34,NA2
35,NP1.1
35,NP1.2
35,NP1
36,NP2.1
36,NP2.2
36,NP2
37,NA3.1
37,NA3.2
37,NA3
38,NA4.1
38,NA4.2
38,NA4
39,NP3.1
39,NP3.2
39,NP3
40,NP4.1
40,NP4.2
40,NP4
41,NA5.1
41,NA5.2
41,NA5
42,NA6.1
42,NA6.2
42,NA6
43,NP5.1
43,NP5.2
43,NP5
44,NP6.1
44,NP6.2
44,NP6
45,NA7.1
45,NA7.2
45,NA7
46,NA8.1
46,NA8.2
46,NA8
47,NP7.1
47,NP7.2
47,NP7
48,NP8.1
48,NP8.2
48,NP8